rt_score,Genre_1,Genre_2,Genre_3,imdb_rating,length,rating,studio,title,year
7.5,Sci-Fi,Adventure,Action,7.8,136,PG-13,Marvel Studios,Captain America: The Winter Soldier,2014
7.9,Sci-Fi,Drama,Action,7.7,130,PG-13,20th Century Fox,Dawn of the Planet of the Apes,2014
7.7,Sci-Fi,Adventure,Action,8.1,121,PG-13,Marvel Studios,Guardians of the Galaxy,2014
7,Sci-Fi,Adventure,,8.7,169,PG-13,Paramount Pictures / Warner Bros.,Interstellar,2014
5.7,Family,Adventure,Action,7.1,97,PG,Walt Disney Pictures,Maleficent,2014
5.9,Fantasy,Adventure,Action,6.9,142,PG-13,Columbia Pictures,The Amazing Spider-Man 2,2014
6.3,Fantasy,Adventure,,7.5,144,PG-13,Warner Bros. / New Line Cinema / MGM,The Hobbit: The Battle of the Five Armies,2014
6.3,Sci-Fi,Adventure,,6.8,123,PG-13,Lionsgate Films,The Hunger Games: Mockingjay - Part 1,2014
3.9,Sci-Fi,Adventure,Action,5.8,165,PG-13,Paramount Pictures,Transformers: Age of Extinction,2014
7.6,Sci-Fi,Adventure,Action,8.1,131,PG-13,20th Century Fox,X-Men: Days of Future Past,2014
6.6,Family,Comedy,Animation,7.5,98,PG,Universal / Illumination,Despicable Me 2,2013
6.2,Thriller,Crime,Action,7.2,130,PG-13,Universal,Fast & Furious 6,2013
7.7,Comedy,Animation,Adventure,7.7,102,PG,Walt Disney Pictures,Frozen,2013
9,Thriller,Sci-Fi,Western,7.9,91,PG-13,Warner Bros.,Gravity,2013
7,Sci-Fi,Adventure,Action,7.3,130,PG-13,Marvel Studios,Iron Man 3,2013
6.2,Fantasy,Adventure,Action,7.2,143,PG-13,Warner Bros. / Legendary,Man of Steel,2013
6.8,Comedy,Animation,Adventure,7.4,104,G,Walt Disney Pictures / Pixar,Monsters University,2013
6.8,Fantasy,Adventure,,8,161,PG-13,Warner Bros. / New Line / MGM,The Hobbit: The Desolation of Smaug,2013
7.5,Adventure,Sci-Fi,,7.7,146,PG-13,Lionsgate,The Hunger Games: Catching Fire,2013
