franchiseID,title,genres
1,Jurassic World,Action|Adventure|Drama|Sci-Fi|Thriller
2,Harry Potter,Adventure|Children|Fantasy
3,Toy Story,Adventure|Animation|Children|Comedy|Fantasy
4,Iron Man,Action|Adventure|Sci-Fi
5,Lord of the Rings,Action|Adventure|Drama|Fantasy
6,Batman,Action|Adventure|Fantasy|Sci-Fi
7,Star Wars,Action|Adventure|Sci-Fi
8,Frozen,Adventure|Animation|Comedy|Fantasy|Musical|Romance
9,Lion King,Adventure|Animation|Children|Drama|Musical
10,Chronicles of Narnia,Adventure|Children|Fantasy
11,Fantastic Beasts,Adventure|Fantasy
12,Jurassic Park,Action|Adventure|Sci-Fi|Thriller
13,Superman,Action|Adventure|Sci-Fi
14,Captain America,Action|Adventure|Sci-Fi
15,Guardians of the Galaxy,Action|Adventure|Sci-Fi
16,Pirates of the Caribbean,Action|Adventure|Comedy|Fantasy
17,The Matrix,Action|Adventure|Sci-Fi|Thriller
18,Spiderman,Action|Adventure|Sci-Fi|Thriller
19,Indiana Jones,Action|Adventure|Comedy|Sci-Fi
20,Predator,Action|Sci-Fi|Thriller
